2000 SOC code,2000 SOC title,2010 SOC code,2010 SOC title
23_2099,"Legal Support Workers, All Other",23_2099,"Legal Support Workers, All Other"
25_1011,"Business Teachers, Postsecondary",25_1011,"Business Teachers, Postsecondary"
25_1021,"Computer Science Teachers, Postsecondary",25_1021,"Computer Science Teachers, Postsecondary"
25_1022,"Mathematical Science Teachers, Postsecondary",25_1022,"Mathematical Science Teachers, Postsecondary"
25_1031,"Architecture Teachers, Postsecondary",25_1031,"Architecture Teachers, Postsecondary"
25_1032,"Engineering Teachers, Postsecondary",25_1032,"Engineering Teachers, Postsecondary"
25_1041,"Agricultural Sciences Teachers, Postsecondary",25_1041,"Agricultural Sciences Teachers, Postsecondary"
25_1042,"Biological Science Teachers, Postsecondary",25_1042,"Biological Science Teachers, Postsecondary"
25_1043,"Forestry and Conservation Science Teachers, Postsecondary",25_1043,"Forestry and Conservation Science Teachers, Postsecondary"
25_1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25_1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
25_1052,"Chemistry Teachers, Postsecondary",25_1052,"Chemistry Teachers, Postsecondary"
25_1053,"Environmental Science Teachers, Postsecondary",25_1053,"Environmental Science Teachers, Postsecondary"
25_1054,"Physics Teachers, Postsecondary",25_1054,"Physics Teachers, Postsecondary"
25_1061,"Anthropology and Archeology Teachers, Postsecondary",25_1061,"Anthropology and Archeology Teachers, Postsecondary"
25_1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25_1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
25_1063,"Economics Teachers, Postsecondary",25_1063,"Economics Teachers, Postsecondary"
25_1064,"Geography Teachers, Postsecondary",25_1064,"Geography Teachers, Postsecondary"
25_1065,"Political Science Teachers, Postsecondary",25_1065,"Political Science Teachers, Postsecondary"
25_1066,"Psychology Teachers, Postsecondary",25_1066,"Psychology Teachers, Postsecondary"
25_1067,"Sociology Teachers, Postsecondary",25_1067,"Sociology Teachers, Postsecondary"
25_1069,"Social Sciences Teachers, Postsecondary, All Other",25_1069,"Social Sciences Teachers, Postsecondary, All Other"
25_1071,"Health Specialties Teachers, Postsecondary",25_1071,"Health Specialties Teachers, Postsecondary"
25_1072,"Nursing Instructors and Teachers, Postsecondary",25_1072,"Nursing Instructors and Teachers, Postsecondary"
25_1081,"Education Teachers, Postsecondary",25_1081,"Education Teachers, Postsecondary"
25_1082,"Library Science Teachers, Postsecondary",25_1082,"Library Science Teachers, Postsecondary"
25_1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25_1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
25_1112,"Law Teachers, Postsecondary",25_1112,"Law Teachers, Postsecondary"
25_1113,"Social Work Teachers, Postsecondary",25_1113,"Social Work Teachers, Postsecondary"
25_1121,"Art, Drama, and Music Teachers, Postsecondary",25_1121,"Art, Drama, and Music Teachers, Postsecondary"
25_1122,"Communications Teachers, Postsecondary",25_1122,"Communications Teachers, Postsecondary"
25_1123,"English Language and Literature Teachers, Postsecondary",25_1123,"English Language and Literature Teachers, Postsecondary"
25_1124,"Foreign Language and Literature Teachers, Postsecondary",25_1124,"Foreign Language and Literature Teachers, Postsecondary"
25_1125,"History Teachers, Postsecondary",25_1125,"History Teachers, Postsecondary"
25_1126,"Philosophy and Religion Teachers, Postsecondary",25_1126,"Philosophy and Religion Teachers, Postsecondary"
25_1191,Graduate Teaching Assistants,25_1191,Graduate Teaching Assistants
25_1192,"Home Economics Teachers, Postsecondary",25_1192,"Home Economics Teachers, Postsecondary"
25_1193,"Recreation and Fitness Studies Teachers, Postsecondary",25_1193,"Recreation and Fitness Studies Teachers, Postsecondary"
25_1194,"Vocational Education Teachers, Postsecondary",25_1194,"Vocational Education Teachers, Postsecondary"
25_1199,"Postsecondary Teachers, All Other",25_1199,"Postsecondary Teachers, All Other"
25_2011,"Preschool Teachers, Except Special Education",25_2011,"Preschool Teachers, Except Special Education"
25_2012,"Kindergarten Teachers, Except Special Education",25_2012,"Kindergarten Teachers, Except Special Education"
25_2021,"Elementary School Teachers, Except Special Education",25_2021,"Elementary School Teachers, Except Special Education"
25_2022,"Middle School Teachers, Except Special and Vocational Education",25_2022,"Middle School Teachers, Except Special and Career/Technical Education"
25_2023,"Vocational Education Teachers, Middle School",25_2023,"Career/Technical Education Teachers, Middle School"
25_2031,"Secondary School Teachers, Except Special and Vocational Education",25_2031,"Secondary School Teachers, Except Special and Career/Technical Education"
25_2032,"Vocational Education Teachers, Secondary School",25_2032,"Career/Technical Education Teachers, Secondary School"
25_2041,"Special Education Teachers, Preschool, Kindergarten, and Elementary School*",25_2051,"Special Education Teachers, Preschool"
25_2041,"Special Education Teachers, Preschool, Kindergarten, and Elementary School*",25_2052,"Special Education Teachers, Kindergarten and Elementary School"
25_2042,"Special Education Teachers, Middle School",25_2053,"Special Education Teachers, Middle School"
25_2043,"Special Education Teachers, Secondary School",25_2054,"Special Education Teachers, Secondary School"
25_3011,"Adult Literacy, Remedial Education, and GED Teachers and Instructors",25_3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors 
25_3021,Self-Enrichment Education Teachers,25_3021,Self-Enrichment Education Teachers
25_3099,"Teachers and Instructors, All Other*",25_2059,"Special Education Teachers, All Other"
25_3099,"Teachers and Instructors, All Other*",25_3099,"Teachers and Instructors, All Other"
25_3099,"Teachers and Instructors, All Other*",25_3098,Substitute Teachers
25_4010,Archivists,25_4011,Archivists
25_4010,Curators,25_4012,Curators
25_4010,Museum Technicians and Conservators,25_4013,Museum Technicians and Conservators
25_4021,Librarians,25_4021,Librarians
25_4031,Library Technicians,25_4031,Library Technicians
25_9011,Audio-Visual Collections Specialists,25_9011,Audio-Visual and Multimedia Collections Specialists
25_9021,Farm and Home Management Advisors,25_9021,Farm and Home Management Advisors
25_9031,Instructional Coordinators,25_9031,Instructional Coordinators
25_9041,Teacher Assistants,25_9041,Teacher Assistants
25_9099,"Education, Training, and Library Workers, All Other",25_9099,"Education, Training, and Library Workers, All Other"
27_1011,Art Directors,27_1011,Art Directors
27_1012,Craft Artists,27_1012,Craft Artists
27_1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",27_1013,"Fine Artists, Including Painters, Sculptors, and Illustrators"
27_1014,Multi-Media Artists and Animators,27_1014,Multimedia Artists and Animators
27_1019,"Artists and Related Workers, All Other",27_1019,"Artists and Related Workers, All Other"
27_1021,Commercial and Industrial Designers,27_1021,Commercial and Industrial Designers
27_1022,Fashion Designers,27_1022,Fashion Designers
27_1023,Floral Designers,27_1023,Floral Designers
27_1024,Graphic Designers,27_1024,Graphic Designers
27_1025,Interior Designers,27_1025,Interior Designers
27_1026,Merchandise Displayers and Window Trimmers,27_1026,Merchandise Displayers and Window Trimmers
27_1027,Set and Exhibit Designers,27_1027,Set and Exhibit Designers
27_1029,"Designers, All Other",27_1029,"Designers, All Other"
27_2011,Actors,27_2011,Actors
27_2012,Producers and Directors,27_2012,Producers and Directors
27_2021,Athletes and Sports Competitors,27_2021,Athletes and Sports Competitors
27_2022,Coaches and Scouts,27_2022,Coaches and Scouts
27_2023,"Umpires, Referees, and Other Sports Officials",27_2023,"Umpires, Referees, and Other Sports Officials"
27_2031,Dancers,27_2031,Dancers
27_2032,Choreographers,27_2032,Choreographers
27_2041,Music Directors and Composers,27_2041,Music Directors and Composers
27_2042,Musicians and Singers,27_2042,Musicians and Singers
27_2099,"Entertainers and Performers, Sports and Related Workers, All Other",27_2099,"Entertainers and Performers, Sports and Related Workers, All Other"
27_3010,Radio and Television Announcers,27_3011,Radio and Television Announcers
27_3010,Public Address System and Other Announcers,27_3012,Public Address System and Other Announcers
27_3020,Broadcast News Analysts,27_3021,Broadcast News Analysts
27_3020,Reporters and Correspondents,27_3022,Reporters and Correspondents
27_3031,Public Relations Specialists*,27_3031,Public Relations Specialists
27_3031,Public Relations Specialists*,13_1121,"Meeting, Convention, and Event Planners** "
27_3031,Public Relations Specialists*,13_1161  ,Market Research Analysts and Marketing Specialists**
27_3041,Editors,27_3041,Editors
27_3042,Technical Writers,27_3042,Technical Writers
27_3043,Writers and Authors,27_3043,Writers and Authors
27_3091,Interpreters and Translators,27_3091,Interpreters and Translators
27_3099,"Media and Communication Workers, All Other",27_3099,"Media and Communication Workers, All Other"
27_4011,Audio and Video Equipment Technicians,27_4011,Audio and Video Equipment Technicians
27_4012,Broadcast Technicians,27_4012,Broadcast Technicians
27_4013,Radio Operators,27_4013,Radio Operators
27_4014,Sound Engineering Technicians,27_4014,Sound Engineering Technicians
27_4021,Photographers,27_4021,Photographers
27_4031,"Camera Operators, Television, Video, and Motion Picture",27_4031,"Camera Operators, Television, Video, and Motion Picture"
27_4032,Film and Video Editors,27_4032,Film and Video Editors
27_4099,"Media and Communication Equipment Workers, All Other",27_4099,"Media and Communication Equipment Workers, All Other"
29_1011,Chiropractors,29_1011,Chiropractors
29_1020,"Dentists, General",29_1021,"Dentists, General"
29_1020,Oral and Maxillofacial Surgeons,29_1022,Oral and Maxillofacial Surgeons
29_1020,Orthodontists,29_1023,Orthodontists
29_1020,Prosthodontists,29_1024,Prosthodontists
29_1020,"Dentists, All Other Specialists",29_1029,"Dentists, All Other Specialists"
29_1031,Dietitians and Nutritionists,29_1031,Dietitians and Nutritionists
29_1041,Optometrists,29_1041,Optometrists
29_1051,Pharmacists,29_1051,Pharmacists
29_1061,Anesthesiologists,29_1061,Anesthesiologists
29_1062,Family and General Practitioners,29_1062,Family and General Practitioners
29_1063,"Internists, General",29_1063,"Internists, General"
29_1064,Obstetricians and Gynecologists,29_1064,Obstetricians and Gynecologists
29_1065,"Pediatricians, General",29_1065,"Pediatricians, General"
29_1066,Psychiatrists,29_1066,Psychiatrists
29_1067,Surgeons,29_1067,Surgeons
29_1069,"Physicians and Surgeons, All Other",29_1069,"Physicians and Surgeons, All Other"
29_1071,Physician Assistants,29_1071,Physician Assistants
29_1081,Podiatrists,29_1081,Podiatrists
29_1111,Registered Nurses*,29_1141,Registered Nurses
29_1111,Registered Nurses*,29_1151,Nurse Anesthetists
29_1111,Registered Nurses*,29_1161,Nurse Midwives
29_1111,Registered Nurses*,29_1171,Nurse Practitioners
29_1121,Audiologists,29_1181,Audiologists
29_1122,Occupational Therapists,29_1122,Occupational Therapists
29_1123,Physical Therapists,29_1123,Physical Therapists
29_1124,Radiation Therapists,29_1124,Radiation Therapists
29_1125,Recreational Therapists,29_1125,Recreational Therapists
29_1126,Respiratory Therapists,29_1126,Respiratory Therapists
29_1127,Speech-Language Pathologists,29_1127,Speech-Language Pathologists
29_1129,"Therapists, All Other*",29_1128,Exercise Physiologists
29_1129,"Therapists, All Other*",29_1129,"Therapists, All Other"
29_1131,Veterinarians,29_1131,Veterinarians
29_1199,"Health Diagnosing and Treating Practitioners, All Other",29_1199,"Health Diagnosing and Treating Practitioners, All Other"
29_2011,Medical and Clinical Laboratory Technologists,29_2011,Medical and Clinical Laboratory Technologists
29_2012,Medical and Clinical Laboratory Technicians,29_2012,Medical and Clinical Laboratory Technicians
29_2021,Dental Hygienists,29_2021,Dental Hygienists
29_2031,Cardiovascular Technologists and Technicians,29_2031,Cardiovascular Technologists and Technicians
29_2032,Diagnostic Medical Sonographers,29_2032,Diagnostic Medical Sonographers
29_2033,Nuclear Medicine Technologists,29_2033,Nuclear Medicine Technologists
29_2034,Radiologic Technologists and Technicians*,29_2034,Radiologic Technologists 
29_2034,Radiologic Technologists and Technicians*,29_2035 ,Magnetic Resonance Imaging Technologists
29_2041,Emergency Medical Technicians and Paramedics,29_2041,Emergency Medical Technicians and Paramedics
29_2051,Dietetic Technicians,29_2051,Dietetic Technicians
29_2052,Pharmacy Technicians,29_2052,Pharmacy Technicians
29_2053,Psychiatric Technicians,29_2053,Psychiatric Technicians
29_2054,Respiratory Therapy Technicians,29_2054,Respiratory Therapy Technicians
29_2055,Surgical Technologists,29_2055,Surgical Technologists
29_2056,Veterinary Technologists and Technicians,29_2056,Veterinary Technologists and Technicians
29_2061,Licensed Practical and Licensed Vocational Nurses,29_2061,Licensed Practical and Licensed Vocational Nurses
29_2071,Medical Records and Health Information Technicians,29_2071,Medical Records and Health Information Technicians
29_2081,"Opticians, Dispensing",29_2081,"Opticians, Dispensing"
29_2091,Orthotists and Prosthetists,29_2091,Orthotists and Prosthetists
29_2099,"Health Technologists and Technicians, All Other*",29_2092,Hearing Aid Specialists
29_2099,"Health Technologists and Technicians, All Other*",29_2057,Ophthalmic Medical Technicians
29_2099,"Health Technologists and Technicians, All Other*",29_2099,"Health Technologists and Technicians, All Other"
29_9010,Occupational Health and Safety Specialists,29_9011,Occupational Health and Safety Specialists
29_9010,Occupational Health and Safety Technicians,29_9012,Occupational Health and Safety Technicians
29_9091,Athletic Trainers,29_9091,Athletic Trainers
29_9099,"Healthcare Practitioners and Technical Workers, All Other*",29_9092,Genetic Counselors
29_9099,"Healthcare Practitioners and Technical Workers, All Other*",29_9099,"Healthcare Practitioners and Technical Workers, All Other"
31_1011,Home Health Aides,31_1011,Home Health Aides
31_1012,"Nursing Aides, Orderlies, and Attendants*",31_1015,Orderlies
31_1012,"Nursing Aides, Orderlies, and Attendants*",31_1014,Nursing Assistants
31_1013,Psychiatric Aides,31_1013,Psychiatric Aides
31_2011,Occupational Therapist Assistants,31_2011,Occupational Therapy Assistants
31_2012,Occupational Therapist Aides,31_2012,Occupational Therapy Aides
31_2021,Physical Therapist Assistants,31_2021,Physical Therapist Assistants
31_2022,Physical Therapist Aides,31_2022,Physical Therapist Aides
31_9011,Massage Therapists,31_9011,Massage Therapists
31_9091,Dental Assistants,31_9091,Dental Assistants
31_9092,Medical Assistants,31_9092,Medical Assistants
31_9093,Medical Equipment Preparers,31_9093,Medical Equipment Preparers
