occ2,occ.code,occ.title,"Digital Score, 2002","Digital Score, 2016",ScoreChange,Education Requirement,Digital Skill level_2002,Digital Skill level_2016,high02,medium02,low02,high16,medium16,low16,tot_emp2002,tot_emp2010,tot_emp16,a_mean02,a_mean10,a_mean16,a_median02,a_median10,a_median16
27,27_1027,Set and Exhibit Designers,21.22137493,61.19334265,39.97196772,Bachelor Degree,3,1,0,0,1,1,0,0,8280,8120,12060,37250,51600,57600,33870,46680,50990
27,27_2012,Producers and Directors,24.44625755,71.73258679,47.28632924,Bachelor Degree,3,1,0,0,1,1,0,0,50780,83520,114510,61500,88610,93840,46240,68440,70950
27,27_2021,Athletes and Sports Competitors,2.672612419,38.41338327,35.74077085,Secondary or below,2,1,0,0,1,0,1,0,10400,12660,10260,92540,87340,83730,45320,43740,47710
27,27_2022,Coaches and Scouts,4.629100499,42.89129912,38.26219862,Bachelor Degree,2,1,0,0,1,0,1,0,87720,184280,230930,34170,35950,41000,27880,28340,31460
27,27_2023,"Umpires, Referees, and Other Sports Officials",8.75,30.7502487,22.0002487,Secondary or below,1,1,0,0,1,0,0,1,9190,15250,18660,27010,28900,35540,20540,22840,25660
27,27_2042,Musicians and Singers,3.340765524,29.67241239,26.33164687,Some College,1,1,0,0,1,0,0,1,53940,43350,40110,48240,NA,NA,36290,NA,NA
27,27_3011,Radio and Television Announcers,35.62626302,73.31450646,37.68824344,Bachelor Degree,3,2,0,1,0,1,0,0,39064.35402,25514.61724,29210,29190,39910,48170,20620,26850,31400
27,27_3012,Public Address System and Other Announcers,17.92842914,54.51344349,36.58501435,Secondary or below,2,1,0,0,1,0,1,0,10725.64598,7005.382756,8020,29190,37840,42740,20620,27910,28940
27,27_3022,Reporters and Correspondents,43.76159683,50.9177737,7.156176868,Bachelor Degree,2,2,0,1,0,0,1,0,54240.45616,40063.36802,40090,39160,43780,49770,30510,34530,37820
27,27_3031,Public Relations Specialists,32.71126455,60.65347326,27.94220872,Bachelor Degree,3,1,0,0,1,1,0,0,136360,225590,226940,46590,59150,66540,41710,52090,58020
27,27_3041,Editors,40.94762967,62.38811438,21.44048471,Bachelor Degree,3,2,0,1,0,1,0,0,106520,99160,97170,47010,59340,66080,41170,51470,57210
27,27_3042,Technical Writers,41.63608982,74.35760324,32.72151341,Some College,3,2,0,1,0,1,0,0,44780,43990,49780,53310,66240,73160,50580,63280,69850
27,27_3043,Writers and Authors,33.5429699,55.35089197,21.80792207,Bachelor Degree,2,2,0,1,0,0,1,0,41990,40980,44690,50300,65960,71920,42790,55420,61240
27,27_3091,Interpreters and Translators,22.75309113,53.88471139,31.13162026,Bachelor Degree,2,1,0,0,1,0,1,0,18600,44200,51350,34900,49790,51260,32590,43300,46120
27,27_4011,Audio and Video Equipment Technicians,29.63184293,74.88735214,45.25550921,Some College,3,1,0,0,1,1,0,0,35770,47510,69670,36550,44460,47450,31110,40540,42230
27,27_4012,Broadcast Technicians,36.92737889,73.77910024,36.85172135,Secondary or below,3,2,0,1,0,1,0,0,31520,30520,30330,34200,41170,45430,27760,35120,38550
27,27_4014,Sound Engineering Technicians,41.65210212,79.046883,37.39478088,Secondary or below,3,2,0,1,0,1,0,0,11110,15650,15210,45750,54030,65240,36970,47080,53680
27,27_4021,Photographers,17.33389344,70.27358154,52.9396881,Secondary or below,3,1,0,0,1,1,0,0,63140,54550,48660,28810,35980,42640,24040,29130,34070
27,27_4031,"Camera Operators, Television, Video, and Motion Picture",25.2117869,63.34469378,38.13290688,Some College,3,1,0,0,1,1,0,0,21370,16760,21710,36880,48450,63200,32720,40390,55080
27,27_4032,Film and Video Editors,42.67462926,72.93027619,30.25564693,Bachelor Degree,3,2,0,1,0,1,0,0,15180,19930,29880,44540,61890,82190,38270,50930,62760
29,29_1011,Chiropractors,16.43365999,59.96916877,43.53550878,Advanced Degree,2,1,0,0,1,0,1,0,20630,26250,32960,83440,79820,81210,65330,67200,67520
29,29_1021,"Dentists, General",17.30249693,50.23590966,32.93341273,Advanced Degree,2,1,0,0,1,0,1,0,79830.17412,75720.3793,105620,133350,158770,173860,123210,141040,153900
29,29_1022,Oral and Maxillofacial Surgeons,14.38704855,54.08299228,39.69594373,Advanced Degree,2,1,0,0,1,0,1,0,4066.335322,3856.993379,5380,133350,214120,232870,123210,NA,NA
29,29_1023,Orthodontists,13.93648675,50.32491598,36.38842923,Advanced Degree,2,1,0,0,1,0,1,0,3930.286929,3727.94899,5200,133350,200290,228780,123210,NA,NA
29,29_1024,Prosthodontists,13.52273895,48.25769369,34.73495473,Advanced Degree,2,1,0,0,1,0,1,0,566.868307,537.6849505,750,133350,139620,168140,123210,118400,126050
29,29_1031,Dietitians and Nutritionists,57.29101627,54.25364537,-3.037370896,Bachelor Degree,2,2,0,1,0,0,1,0,45150,53510,61430,41920,54340,59670,41170,53250,58920
29,29_1041,Optometrists,49.97401786,46.35104681,-3.622971051,Advanced Degree,2,2,0,1,0,0,1,0,23040,26480,36430,95440,106750,117580,86090,94990,106140
29,29_1051,Pharmacists,51.86475781,62.59063516,10.72587735,Advanced Degree,3,2,0,1,0,1,0,0,219390,268030,305510,75140,109380,120270,77050,111570,122230
29,29_1061,Anesthesiologists,24.14213562,49.74516302,25.6030274,Advanced Degree,2,1,0,0,1,0,1,0,24780,34820,30190,181420,220100,269600,NA,NA,NA
29,29_1062,Family and General Practitioners,26.93410734,45.84822706,18.91411972,Advanced Degree,2,1,0,0,1,0,1,0,115020,97820,122970,136260,173860,200810,130610,163510,190490
29,29_1063,"Internists, General",26.93410734,57.70508666,30.77097932,Advanced Degree,2,1,0,0,1,0,1,0,50380,50070,45290,158350,189480,201840,NA,NA,196380
29,29_1064,Obstetricians and Gynecologists,26.93410734,45.87473054,18.9406232,Advanced Degree,2,1,0,0,1,0,1,0,19970,19940,19800,179640,210340,234310,NA,NA,NA
29,29_1065,"Pediatricians, General",26.93410734,54.24390643,27.30979909,Advanced Degree,2,1,0,0,1,0,1,0,27320,30100,26960,142360,165720,184240,133350,155370,168990
29,29_1066,Psychiatrists,24.01529776,51.31390044,27.29860268,Advanced Degree,2,1,0,0,1,0,1,0,19750,22690,24820,135220,167610,200220,130930,164220,194740
29,29_1067,Surgeons,21.93551482,55.52911655,33.59360173,Advanced Degree,2,1,0,0,1,0,1,0,51580,43230,41190,189590,225390,252910,NA,NA,NA
29,29_1071,Physician Assistants,27.40318318,55.60699232,28.20380914,Advanced Degree,2,1,0,0,1,0,1,0,61910,81420,104050,63490,87140,102090,64670,86410,101480
29,29_1081,Podiatrists,13.3630621,56.90563969,43.54257759,Advanced Degree,2,1,0,0,1,0,1,0,7490,9310,9800,107430,133410,144110,94870,118030,124830
29,29_1122,Occupational Therapists,37.65782941,49.50075142,11.84292201,Advanced Degree,2,2,0,1,0,0,1,0,78580,100300,118070,53040,73380,83730,51990,72320,81910
29,29_1123,Physical Therapists,38.13733301,44.10159365,5.964260649,Advanced Degree,2,2,0,1,0,0,1,0,130290,180280,216920,60180,77990,87220,57330,76310,85400
29,29_1124,Radiation Therapists,53.81354296,66.59333679,12.77979383,Some College,3,2,0,1,0,1,0,0,13510,16590,17450,60110,78290,84980,50640,74980,80160
29,29_1125,Recreational Therapists,38.63742975,49.75491499,11.11748524,Bachelor Degree,2,2,0,1,0,0,1,0,26130,20830,18100,31670,41440,48190,30540,39410,46410
29,29_1126,Respiratory Therapists,54.61440266,58.63302431,4.018621651,Some College,2,2,0,1,0,0,1,0,85350,109270,126770,40700,55200,60640,40220,54280,58670
29,29_1127,Speech-Language Pathologists,26.63453577,51.81384751,25.17931174,Advanced Degree,2,1,0,0,1,0,1,0,87030,112530,135980,51490,69880,78210,49450,66920,74680
29,29_1131,Veterinarians,13.12840669,49.40065185,36.27224516,Advanced Degree,2,1,0,0,1,0,1,0,42900,54480,67650,73720,92570,100560,63090,82040,88770
29,29_1141,Registered Nurses,38.18339451,54.91373275,16.73033824,Some College,2,2,0,1,0,0,1,0,2095515.476,2484287.104,2857180,49840,67720,72180,48090,64690,68450
29,29_1181,Audiologists,26.63453577,63.91175167,37.2772159,Advanced Degree,3,1,0,0,1,1,0,0,10180,12860,12310,51840,69840,79290,48400,66660,75980
29,29_2011,Medical and Clinical Laboratory Technologists,42.66341963,49.52902353,6.865603897,Bachelor Degree,2,2,0,1,0,0,1,0,146480,164430,166730,43670,56870,62440,42910,56130,61070
29,29_2012,Medical and Clinical Laboratory Technicians,36.2735363,62.48836615,26.21482985,Bachelor Degree,3,2,0,1,0,1,0,0,144120,156480,160190,30330,38190,41700,29040,36280,38950
29,29_2021,Dental Hygienists,37.99176959,49.22483844,11.23306885,Some College,2,2,0,1,0,0,1,0,148530,177520,204990,57790,68680,73440,55320,68250,72910
29,29_2031,Cardiovascular Technologists and Technicians,48.04517962,61.29832477,13.25314515,Some College,3,2,0,1,0,1,0,0,42870,48720,53760,37680,50720,57100,36430,49410,55570
29,29_2032,Diagnostic Medical Sonographers,51.44177456,57.04408883,5.602314272,Some College,2,2,0,1,0,0,1,0,36530,53010,65790,49710,64900,71750,48660,64380,69650
29,29_2033,Nuclear Medicine Technologists,58.42331973,67.02234542,8.599025687,Some College,3,2,0,1,0,1,0,0,17090,21600,19650,52260,69050,75960,48750,68560,74350
29,29_2034,Radiologic Technologists,54.99866278,63.75639767,8.757734883,Some College,3,2,0,1,0,1,0,0,147233.8309,183876.8478,200650,40150,55730,59260,38970,54340,57450
29,29_2041,Emergency Medical Technicians and Paramedics,39.80632593,54.98515766,15.17883173,Secondary or below,2,2,0,1,0,0,1,0,178700,221760,244960,26570,33300,36110,24030,30360,32670
29,29_2051,Dietetic Technicians,8.183170884,27.79133837,19.60816749,Secondary or below,1,1,0,0,1,0,0,1,28910,23890,32240,24100,28820,29360,22490,27060,26350
29,29_2052,Pharmacy Technicians,41.33640868,55.52564042,14.18923174,Secondary or below,2,2,0,1,0,0,1,0,207380,333500,398390,23200,29330,32170,22250,28400,30920
29,29_2053,Psychiatric Technicians,14.87098627,49.54643448,34.67544821,Secondary or below,2,1,0,0,1,0,1,0,58600,72650,61720,28060,31520,35870,25710,28710,30970
29,29_2054,Respiratory Therapy Technicians,49.50985821,60.41962108,10.90976286,Some College,3,2,0,1,0,1,0,0,26220,13570,10600,34930,46340,50520,34130,45210,49780
29,29_2055,Surgical Technologists,7.617848222,42.19845283,34.58060461,Some College,2,1,0,0,1,0,1,0,72040,92260,105720,31960,41310,46800,31210,39920,45160
29,29_2061,Licensed Practical and Licensed Vocational Nurses,30.23339323,49.94320897,19.70981574,Secondary or below,2,1,0,0,1,0,1,0,692290,730290,702400,32300,41360,44840,31440,40380,44090
29,29_2071,Medical Records and Health Information Technicians,59.37261611,59.10163402,-0.270982089,Secondary or below,2,2,0,1,0,0,1,0,145270,176090,200140,25980,35010,41460,23890,32350,38040
29,29_2081,"Opticians, Dispensing",16.55848311,48.34717122,31.78868811,Some College,2,1,0,0,1,0,1,0,61790,62200,75270,27830,34800,37860,25600,32940,35530
29,29_2091,Orthotists and Prosthetists,13.03784573,51.43903194,38.40118621,Bachelor Degree,2,1,0,0,1,0,1,0,4480,5940,7500,53410,68930,69920,46260,65060,65630
29,29_9011,Occupational Health and Safety Specialists,28.03059553,59.81033555,31.77974002,Bachelor Degree,2,1,0,0,1,0,1,0,32118.98058,44963.28361,76630,47530,65610,72480,46010,64660,70920
29,29_9091,Athletic Trainers,2.672612419,47.96420666,45.29159424,Advanced Degree,2,1,0,0,1,0,1,0,13500,16290,24130,36070,44030,47880,33820,41600,45630
31,31_1011,Home Health Aides,3.118206902,22.5808468,19.46263989,Secondary or below,1,1,0,0,1,0,0,1,569670,982840,814300,19050,21760,23600,18090,20560,22600
31,31_1013,Psychiatric Aides,13.48397227,29.54011903,16.05614676,Secondary or below,1,1,0,0,1,0,0,1,56260,64730,67410,23760,26710,28770,22970,24950,26720
31,31_1014,Nursing Assistants,19.91326921,27.66970057,7.75643136,Secondary or below,1,1,0,0,1,0,0,1,1282271.606,1399742.351,1443150,20540,25140,27650,19960,24010,26590
31,31_1015,Orderlies,19.91326921,25.83774425,5.92447504,Secondary or below,1,1,0,0,1,0,0,1,47038.39435,51347.64927,52940,20540,NA,28550,19960,NA,26690
31,31_2011,Occupational Therapy Assistants,16.60939587,47.10856356,30.49916769,Some College,2,1,0,0,1,0,1,0,17970,27720,38170,36950,51300,59530,36660,51010,59010
31,31_2012,Occupational Therapy Aides,16.60939587,34.93635765,18.32696178,Some College,2,1,0,0,1,0,1,0,8040,7180,7210,24510,31090,31840,22040,27430,28330
31,31_2021,Physical Therapist Assistants,19.73354571,43.8460359,24.11249019,Some College,2,1,0,0,1,0,1,0,50430,65960,85580,36360,49810,56850,36080,49690,56610
31,31_2022,Physical Therapist Aides,19.73354571,46.75574506,27.02219935,Secondary or below,2,1,0,0,1,0,1,0,37330,45900,50030,22120,25000,27890,20670,23680,25680
31,31_9091,Dental Assistants,40.28404948,51.9015589,11.61750943,Secondary or below,2,2,0,1,0,0,1,0,268220,294030,327290,27910,34140,37890,27240,33470,36940
31,31_9092,Medical Assistants,35.05064513,63.67833155,28.62768642,Secondary or below,3,2,0,1,0,1,0,0,361960,523260,623560,24810,29760,32850,23940,28860,31540
31,31_9093,Medical Equipment Preparers,21.11091067,50.4022559,29.29134522,Secondary or below,2,1,0,0,1,0,1,0,35490,47310,52500,23910,30350,35960,22960,29490,34400
31,31_9095,Pharmacy Aides,54.28234275,57.20406157,2.921718812,Secondary or below,2,2,0,1,0,0,1,0,58020,49580,36660,19700,22830,28420,18430,21430,25240
31,31_9096,Veterinary Assistants and Laboratory Animal Caretakers,4.409810492,45.77242341,41.36261291,Secondary or below,2,1,0,0,1,0,1,0,62740,70530,79990,18870,23660,26810,17790,22040,25250
33,33_1012,First-Line Supervisors of Police and Detectives,58.59155726,61.31181157,2.720254309,Secondary or below,3,2,0,1,0,1,0,0,109530,102200,100200,61650,80770,88400,61010,78260,84840
33,33_1021,First-Line Supervisors of Fire Fighting and Prevention Workers,20.76035034,55.60319409,34.84284375,Some College,2,1,0,0,1,0,1,0,60900,58800,57170,56750,71890,77050,55450,68240,74540
33,33_2011,Firefighters,18.50520511,40.2024766,21.69727149,Secondary or below,2,1,0,0,1,0,1,0,273850,302400,315910,37530,47730,50520,36230,45250,48030
33,33_2021,Fire Inspectors and Investigators,22.69882914,56.75519602,34.05636688,Some College,2,1,0,0,1,0,1,0,12140,13050,11910,46000,56160,61660,45010,52230,58440
33,33_3011,Bailiffs,3.070597894,40.12541869,37.0548208,Secondary or below,2,1,0,0,1,0,1,0,14390,17310,17880,34250,40910,45740,32710,38570,42670
33,33_3012,Correctional Officers and Jailers,12.64693776,54.61106274,41.96412498,Secondary or below,2,1,0,0,1,0,1,0,400190,457550,431600,34650,42780,46750,32670,39040,42820
33,33_3021,Detectives and Criminal Investigators,23.24625064,59.65868926,36.41243861,Secondary or below,2,1,0,0,1,0,1,0,88460,110640,104980,52960,73010,81490,51410,68820,78120
33,33_3031,Fish and Game Wardens,5.428101483,53.31833338,47.89023189,Bachelor Degree,2,1,0,0,1,0,1,0,7080,7240,6610,43920,55650,54760,41010,49730,51730
33,33_3041,Parking Enforcement Workers,10.43907845,54.61076741,44.17168896,Secondary or below,2,1,0,0,1,0,1,0,10180,9430,8920,29260,36130,39650,28110,35390,37950
33,33_3051,Police and Sheriff's Patrol Officers,27.07627933,62.34181893,35.2655396,Secondary or below,3,1,0,0,1,1,0,0,597650,644300,657690,43390,55620,62760,42270,53540,59680
33,33_9021,Private Detectives and Investigators,20.98091032,62.65095836,41.67004805,Bachelor Degree,3,1,0,0,1,1,0,0,31170,28210,28490,34250,47830,53530,29300,42870,48190
33,33_9032,Security Guards,28.06923503,31.37547821,3.306243177,Secondary or below,1,1,0,0,1,0,0,1,977650,1006880,1103120,21060,26870,29730,19140,23920,25770
33,33_9091,Crossing Guards,0,16.19608962,16.19608962,Secondary or below,1,1,0,0,1,0,0,1,73020,68740,72900,20370,25850,29190,18680,23610,26700
35,35_1011,Chefs and Head Cooks,3.366837689,45.60621951,42.23938182,Some College,2,1,0,0,1,0,1,0,120430,90510,134190,32000,44780,47390,27940,40630,43180
35,35_1012,First-Line Supervisors of Food Preparation and Serving Workers,14.07821232,36.03002638,21.95181405,Secondary or below,2,1,0,0,1,0,1,0,661050,773400,908550,26590,31770,34700,24390,29560,31480
35,35_2011,"Cooks, Fast Food",3.070597894,29.26893899,26.19834109,Secondary or below,1,1,0,0,1,0,0,1,582630,525350,513200,14930,18540,20570,14350,18100,19860
35,35_2012,"Cooks, Institution and Cafeteria",4.184470311,30.8369798,26.65250949,Secondary or below,1,1,0,0,1,0,0,1,416710,387700,409850,19190,24180,26370,18140,22730,24750
35,35_2014,"Cooks, Restaurant",4.945235803,18.37810592,13.43287012,Secondary or below,1,1,0,0,1,0,0,1,715520,901310,1217370,19850,23260,25430,19050,22140,24140
35,35_2015,"Cooks, Short Order",3.070597894,17.09733933,14.02674144,Secondary or below,1,1,0,0,1,0,0,1,223030,171780,183990,17130,21030,23130,16270,19580,21890
35,35_2021,Food Preparation Workers,0,14.95302929,14.95302929,Secondary or below,1,1,0,0,1,0,0,1,836540,802650,850670,17200,20660,22920,16330,19100,21440
35,35_3011,Bartenders,17.75615831,29.31237566,11.55621736,Secondary or below,1,1,0,0,1,0,0,1,453390,495350,603320,16900,21310,25580,15000,18680,20800
35,35_3021,"Combined Food Preparation and Serving Workers, Including Fast Food",27.36637432,26.72676502,-0.639609298,Secondary or below,1,1,0,0,1,0,0,1,2000070,2692170,3426090,15150,18610,20460,14500,17950,19440
35,35_3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",2.672612419,33.30577964,30.63316722,Secondary or below,2,1,0,0,1,0,1,0,466270,446660,499550,16090,19280,21380,15230,18370,19970
35,35_3031,Waiters and Waitresses,22.27997275,36.56912113,14.28914838,Secondary or below,2,1,0,0,1,0,1,0,2086120,2244480,2564610,15770,20790,24410,14150,18330,19990
35,35_3041,"Food Servers, Nonrestaurant",7.705517504,11.78561999,4.08010249,Secondary or below,1,1,0,0,1,0,0,1,193980,205330,261520,17070,21640,23490,15640,19430,21240
35,35_9011,Dining Room and Cafeteria Attendants and Bartender Helpers,0,31.92395826,31.92395826,Secondary or below,1,1,0,0,1,0,0,1,404210,390920,423080,15330,19320,22340,14530,18190,20200
35,35_9021,Dishwashers,0,20.32195897,20.32195897,Secondary or below,1,1,0,0,1,0,0,1,499070,505950,506450,15410,18680,21260,14860,18150,20800
35,35_9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",14.16193943,21.92949095,7.767551516,Secondary or below,1,1,0,0,1,0,0,1,295170,329020,404360,16130,19600,21410,15310,18450,19980
37,37_1011,First-Line Supervisors of Housekeeping and Janitorial Workers,10.14729687,34.96515529,24.81785842,Secondary or below,2,1,0,0,1,0,1,0,204710,172610,161140,30430,37480,41240,28140,35090,38190
37,37_1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",11.95917947,44.44505183,32.48587236,Some College,2,1,0,0,1,0,1,0,95600,100630,103070,36220,44730,48790,33050,41860,45740
37,37_2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",3.443420227,17.51666317,14.07324295,Secondary or below,1,1,0,0,1,0,0,1,2052090,2058610,2161740,20150,24560,27030,18250,22210,24190
37,37_2012,Maids and Housekeeping Cleaners,0,13.72360079,13.72360079,Secondary or below,1,1,0,0,1,0,0,1,912340,865960,924640,17330,21150,23830,16440,19300,21820
37,37_2021,Pest Control Workers,2.171240593,25.88870933,23.71746874,Secondary or below,1,1,0,0,1,0,0,1,57370,62490,72830,26180,32480,35020,24760,30340,33040
37,37_3011,Landscaping and Groundskeeping Workers,0,16.01346743,16.01346743,Secondary or below,1,1,0,0,1,0,0,1,792170,829350,906570,21490,25430,28560,19770,23400,26320
37,37_3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0,30.58506688,30.58506688,Secondary or below,1,1,0,0,1,0,0,1,22000,23200,25230,25960,31470,35720,24830,29890,33740
39,39_1011,Gaming Supervisors,13.52881539,42.26686088,28.73804549,Secondary or below,2,1,0,0,1,0,1,0,25610,22960,22130,40180,49270,50810,39290,48530,50520
39,39_1021,First-Line Supervisors of Personal Service Workers,11.17563721,44.38560162,33.20996442,Some College,2,1,0,0,1,0,1,0,106680,131800,190420,32130,38430,39830,28960,35290,36700
39,39_2011,Animal Trainers,0,36.30221466,36.30221466,Secondary or below,2,1,0,0,1,0,1,0,6780,9740,13590,27210,31110,34580,22950,26580,27690
39,39_2021,Nonfarm Animal Caretakers,10.69044968,19.71117464,9.020724966,Secondary or below,1,1,0,0,1,0,0,1,86700,135070,187360,18750,22070,24420,17080,19550,21990
39,39_3011,Gaming Dealers,18.49902217,16.50871087,-1.990311297,Secondary or below,1,1,0,0,1,0,0,1,75690,85430,94570,16270,21820,21990,14090,18090,19290
39,39_3012,Gaming and Sports Book Writers and Runners,18.49902217,36.9656257,18.46660353,Secondary or below,2,1,0,0,1,0,1,0,13820,13450,11460,20700,24060,25710,18660,20850,22600
39,39_3031,"Ushers, Lobby Attendants, and Ticket Takers",7.116476396,33.92373869,26.8072623,Secondary or below,2,1,0,0,1,0,1,0,106050,107200,117920,16490,20290,21740,14600,18560,19920
39,39_3091,Amusement and Recreation Attendants,14.82984904,42.22942032,27.39957128,Secondary or below,2,1,0,0,1,0,1,0,225100,254630,286740,16360,19750,22000,14920,18450,20160
39,39_3092,Costume Attendants,2.672612419,32.61569507,29.94308265,Secondary or below,1,1,0,0,1,0,0,1,3660,5490,6640,26890,34580,50470,24160,29150,45900
39,39_3093,"Locker Room, Coatroom, and Dressing Room Attendants",9.974325337,15.44172332,5.467397985,Secondary or below,1,1,0,0,1,0,0,1,21660,17280,18040,17780,21700,24390,16930,19450,21720
39,39_4011,Embalmers,4.945235803,39.53888701,34.59365121,Some College,2,1,0,0,1,0,1,0,6790,6780,3710,36160,44280,42260,34240,43480,40150
39,39_4021,Funeral Attendants,0,36.89924497,36.89924497,Secondary or below,2,1,0,0,1,0,1,0,25950,29810,35770,19800,24590,27110,18190,22990,24830
39,39_5012,"Hairdressers, Hairstylists, and Cosmetologists",12.28045649,36.00801503,23.72755854,Secondary or below,2,1,0,0,1,0,1,0,330730,349420,352380,22110,26510,29590,18960,22760,24260
39,39_5092,Manicurists and Pedicurists,0,22.67799331,22.67799331,Secondary or below,1,1,0,0,1,0,0,1,31350,51990,90630,18810,22060,24330,17330,19650,22150
39,39_6011,Baggage Porters and Bellhops,5.743210313,28.93982756,23.19661725,Secondary or below,1,1,0,0,1,0,0,1,57650,44740,44750,22440,23720,24910,17860,20270,22260
39,39_7011,Tour Guides and Escorts,18.66025404,30.68255305,12.02229901,Secondary or below,1,1,0,0,1,0,0,1,28480,29690,38660,20040,26090,28100,18500,23290,24920
39,39_9011,Childcare Workers,7.599342077,18.34588273,10.74654065,Secondary or below,1,1,0,0,1,0,0,1,456260,611280,569370,17310,21110,22930,16350,19300,21170
39,39_9021,Personal Care Aides,16.38952237,14.36557248,-2.023949888,Secondary or below,1,1,0,0,1,0,0,1,451040,686030,1492250,16790,20420,22710,16250,19640,21920
39,39_9031,Fitness Trainers and Aerobics Instructors,16.85332351,32.90973426,16.05641075,Secondary or below,1,1,0,0,1,0,0,1,169920,225490,257410,29910,35920,42780,23950,31090,38160
39,39_9032,Recreation Workers,21.29637624,40.37804608,19.08166983,Bachelor Degree,2,1,0,0,1,0,1,0,267930,293430,336880,20580,25270,27230,18060,22260,23870
39,39_9041,Residential Advisors,4.409810492,47.02513135,42.61532086,Bachelor Degree,2,1,0,0,1,0,1,0,48530,65610,110330,22410,26400,27690,20700,24440,25570
41,41_1011,First-Line Supervisors of Retail Sales Workers,36.22386597,36.99913113,0.775265161,Secondary or below,2,2,0,1,0,0,1,0,1197190,1172070,1194220,34770,39890,43910,29700,35820,39040
41,41_1012,First-Line Supervisors of Non-Retail Sales Workers,22.63050411,59.57312481,36.9426207,Bachelor Degree,2,1,0,0,1,0,1,0,325450,244320,252670,64270,81120,85830,53020,68880,73150
41,41_2011,Cashiers,35.29493783,35.62146511,0.326527283,Secondary or below,2,2,0,1,0,0,1,0,3375510,3354170,3541010,16680,19810,21680,15420,18500,20180
41,41_2021,Counter and Rental Clerks,26.93167252,56.5370665,29.60539399,Secondary or below,2,1,0,0,1,0,1,0,425380,414730,450330,20040,25620,29390,17280,22100,25550
41,41_2022,Parts Salespersons,35.86626888,58.50160788,22.63533901,Secondary or below,2,2,0,1,0,0,1,0,243170,201610,248740,26670,31380,33220,23950,28860,29780
41,41_2031,Retail Salespersons,34.93157533,45.62453466,10.69295933,Secondary or below,2,2,0,1,0,0,1,0,3894760,4155190,4528550,21750,25000,27180,17710,20670,22680
41,41_3011,Advertising Sales Agents,32.64178313,55.34456479,22.70278167,Bachelor Degree,2,1,0,0,1,0,1,0,141360,145160,141100,47610,55020,63660,37670,45350,50380
41,41_3021,Insurance Sales Agents,58.86701174,50.75330734,-8.1137044,Bachelor Degree,2,2,0,1,0,0,1,0,274830,318800,385700,53800,62520,67760,40750,46770,49990
41,41_3031,"Securities, Commodities, and Financial Services Sales Agents",33.74133266,67.09687695,33.35554429,Bachelor Degree,3,2,0,1,0,1,0,0,254600,276290,353780,85710,95130,102260,60990,70190,67310
41,41_3041,Travel Agents,57.35065224,64.08231682,6.731664582,Some College,3,2,0,1,0,1,0,0,104550,70930,68680,28370,33950,39900,26630,31870,36460
41,41_4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",23.99113208,49.02992948,25.0387974,Some College,2,1,0,0,1,0,1,0,371580,381080,328370,63460,84360,92910,55740,73710,78980
41,41_4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",30.96072222,48.42141274,17.46069052,Bachelor Degree,2,1,0,0,1,0,1,0,1375380,1367210,1404050,51130,62720,68410,42730,52440,57140
41,41_9011,Demonstrators and Product Promoters,21.62188866,31.22146783,9.599579168,Secondary or below,1,1,0,0,1,0,0,1,101420,75790,86500,25360,27630,30570,20380,23110,25610
41,41_9021,Real Estate Brokers,54.14613823,58.74106469,4.594926462,Bachelor Degree,2,2,0,1,0,0,1,0,40810,41210,40850,72130,76060,79340,50330,54910,56790
41,41_9022,Real Estate Sales Agents,30.77719169,59.88787708,29.1106854,Secondary or below,2,1,0,0,1,0,1,0,125960,153740,151840,42470,52490,59360,30930,40030,44090
41,41_9031,Sales Engineers,43.89202245,74.56564523,30.67362278,Bachelor Degree,3,2,0,1,0,1,0,0,79300,66060,74330,69200,94760,108880,63660,87390,1.00E+05
43,43_1011,First-Line Supervisors of Office and Administrative Support Workers,39.05347592,63.8612121,24.80773618,Bachelor Degree,3,2,0,1,0,1,0,0,1400240,1359950,1443150,42060,50770,57890,38820,47460,54340
43,43_2011,"Switchboard Operators, Including Answering Service",36.03930333,57.59194806,21.55264473,Secondary or below,2,2,0,1,0,0,1,0,226890,138200,90910,21970,26280,29720,21190,24920,28030
43,43_3011,Bill and Account Collectors,34.77604674,60.49322474,25.717178,Secondary or below,3,2,0,1,0,1,0,0,407280,399950,298960,28330,33100,37620,26780,31310,35350
43,43_3021,Billing and Posting Clerks,43.41177607,59.41417425,16.00239818,Secondary or below,2,2,0,1,0,0,1,0,491000,483440,485220,27120,33270,37570,26110,32170,36150
43,43_3031,"Bookkeeping, Accounting, and Auditing Clerks",51.51713197,57.22674435,5.709612371,Secondary or below,2,2,0,1,0,0,1,0,1728730,1675250,1566960,28650,35340,40220,27380,34030,38390
43,43_3041,Gaming Cage Workers,45.93994534,48.80678305,2.86683771,Secondary or below,2,2,0,1,0,0,1,0,18320,15640,18810,22400,26950,28120,21780,25690,25990
